Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.28      3.49     0.01      369     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > > >::construct<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Pattern> >(std::allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >&, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>*, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, Pattern>&&)
  0.28      3.50     0.01       51     0.00     0.00  std::__cxx11::list<pos, std::allocator<pos> >::~list()
  0.28      3.51     0.01       23     0.00     0.00  void std::__alloc_on_move<std::allocator<Pattern> >(std::allocator<Pattern>&, std::allocator<Pattern>&)
  0.28      3.52     0.01       12     0.00     0.00  MinMax::algo(unsigned long long*, Player, Player, bool)
  0.28      3.53     0.01        1     0.01     0.01  __static_initialization_and_destruction_0(int, int)
  0.28      3.54     0.01                             Game::~Game()
  0.28      3.55     0.01                             Pattern* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Pattern const*, std::vector<Pattern, std::allocator<Pattern> > >, Pattern*>(__gnu_cxx::__normal_iterator<Pattern const*, std::vector<Pattern, std::allocator<Pattern> > >, __gnu_cxx::__normal_iterator<Pattern const*, std::vector<Pattern, std::allocator<Pattern> > >, Pattern*)
  0.28      3.56     0.01                             Pattern* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Pattern const*, std::vector<Pattern, std::allocator<Pattern> > >, Pattern*, Pattern>(__gnu_cxx::__normal_iterator<Pattern const*, std::vector<Pattern, std::allocator<Pattern> > >, __gnu_cxx::__normal_iterator<Pattern const*, std::vector<Pattern, std::allocator<Pattern> > >, Pattern*, std::allocator<Pattern>&)
  0.14      3.57     0.01   339480     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::end()
  0.14      3.57     0.01    98326     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      3.57     0.00   587189     0.00     0.00  Pattern::~Pattern()
  0.00      3.57     0.00   502924     0.00     0.00  __gnu_cxx::__normal_iterator<coords*, std::vector<coords, std::allocator<coords> > >::operator*() const
  0.00      3.57     0.00   374074     0.00     0.00  std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >::_M_valptr()
  0.00      3.57     0.00   348962     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<char const>::_Iter_equals_val(char const&)
  0.00      3.57     0.00   273766     0.00     0.00  std::move_iterator<Pattern*>::base() const
  0.00      3.57     0.00   253064     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator--()
  0.00      3.57     0.00   250886     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> >::operator==(std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > const&) const
  0.00      3.57     0.00   250542     0.00     0.00  std::remove_reference<coords&>::type&& std::move<coords&>(coords&)
  0.00      3.57     0.00   247646     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Pattern> > >::end()
  0.00      3.57     0.00   238329     0.00     0.00  __gnu_cxx::__normal_iterator<coords*, std::vector<coords, std::allocator<coords> > >::base() const
